OBJECTID,LegacyID,FACILITYID,BlockStreet,IntersectionStreets,ROW_Mailboxes,Surface_Type,SHAPESTArea,SHAPESTLength,Latitude,Longitude
1,9999,106,600 Ashford Ct,Not Specified,Yes,Concrete,9777.149920027367,535.4120530047458,40.10993933535265,-88.30981872033288
2,9999,278,4800 Oakdale Dr,Not Specified,Yes,Concrete,2366.2078213561413,231.01028139299547,40.10583998383351,-88.32796982199481
3,9999,279,4900 Oakdale Dr,Not Specified,Yes,Concrete,3107.0156863728644,281.0076892977526,40.10561735538071,-88.32829890238428
4,9999,280,Not Specified,Glen Abbey DR & Oakdale Dr,Yes,Concrete,3873.8410250003694,260.7467551477828,40.1056151933348,-88.32796322400148
5,9999,281,Not Specified,Oakdale Dr & Vahalla Dr,Yes,Concrete,2725.5931279903402,213.1219071477485,40.105389926438846,-88.32577544958828
6,9999,283,4800 Oakdale Dr,Not Specified,Yes,Concrete,15434.754396415572,1205.6961222250036,40.10559698312116,-88.32679567311078
7,9999,285,1100 Glen Abbey DR,Not Specified,Yes,Concrete,9817.479307290305,798.4363000534584,40.105002229204324,-88.32795901331289
8,9999,286,4800 Vahalla Dr,Not Specified,Yes,Concrete,20463.85888899202,1411.191201168998,40.104747258531965,-88.32678688121722
9,9999,287,Not Specified,English Oak Dr & Glen Abbey DR,Yes,Concrete,2855.197647037728,215.92824639405785,40.103046007412466,-88.32725261507176
10,9999,293,1400 English Oak Dr,Not Specified,Yes,Concrete,24764.40794587844,1585.1368105976658,40.10205286216978,-88.32777710418799
11,9999,295,1100 English Oak Dr,Not Specified,Yes,Concrete,13142.912656186345,870.4216898149385,40.10490800191638,-88.32439691097795
12,9999,289,1200 English Oak Dr,Not Specified,Yes,Concrete,24479.405665012615,1563.0208504828427,40.1037618828062,-88.32614323332322
13,9999,297,Not Specified,English Oak Ct & English Oak Dr,Yes,Concrete,3023.956443219113,220.96465733007517,40.10448394304188,-88.32502833216478
14,9999,294,4700 Abbey Fields Dr,Not Specified,No,Concrete,29412.690127727772,3095.6561379996688,40.10086539633346,-88.32619266703685
15,9999,298,Not Specified,Abbey Fields Dr & Wyndemere Point Dr,Yes,Concrete,5189.352103471214,323.3990187536962,40.101001605550465,-88.3247902835999
16,8888,305,5200 W Kirby Ave,Not Specified,No,Asphalt,985.9232572241941,138.31456408786934,40.098747923142305,-88.3333605771946
17,8888,306,Not Specified,S Rising Rd & W Kirby Ave,No,Asphalt,4364.720475314158,284.459179504188,40.0987489420608,-88.33313292836836
18,8888,392,1600 S Rising Rd,Not Specified,No,Oil and Chip,26009.397256889628,1862.478372449574,40.0974176143682,-88.33311566618737
