X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID
-9824847.80767025,4887225.98189152,1,Steel,Traffic Signal,Cobra,HPS,250,SL006,1267212.311475,1005283.201,6,2005/01/01 06:00:00+00,1,No,,Black,,GE,No,,AERIAL,,,{3D9252A0-98F3-41A1-9CE0-8D9AB468C8F5}
-9822795.29692906,4882735.31532618,2,Aluminum,Truss Arm,Cobra,LED,,SL060,1255992.918275,1010449.98265,4,2017/01/01 06:00:00+00,4,No,,Black,,GE,Yes,,AERIAL,,,{3F9D8B79-1F27-427D-86F4-CC5D4472F47D}
-9822669.91777099,4882848.74170994,3,Cast Aluminum,Other,Globe,IND,85,SL048,1256265.682725,1010762.002675,1,,7,Yes,,Black,Sternberg,QL,Yes,,AERIAL,,10/12/18,{A210936D-18C6-43A0-8A43-111608E5E6E9}
-9822446.20165141,4882850.14453413,4,Aluminum,Combo,Cobra,Other,250/85,SL048,1256269.251825,1011333.168,6,,11,No,,Black,,GE-HPS/QL-IND,Yes,,AERIAL,,10/12/18,{123E4305-5BB1-4A96-99CD-8A7F7C084441}
-9825124.61011087,4883275.77984958,5,Cast Iron,Other,Globe,IND,55,SL008,1257328.53399999,1004593.931,7,,14,No,,Green,,QL,Yes,,AERIAL,,,{38DA6762-EFE8-45AA-A24E-3753FB014509}
-9825094.62189776,4883238.29321364,6,Cast Iron,Other,Globe,IND,55,SL008,1257237.4956,1004666.847,7,,15,No,,Green,,QL,Yes,,AERIAL,,,{4922142E-49E3-4326-ACD0-D49296572309}
-9825094.27479219,4883198.53166688,7,Cast Iron,Other,Globe,IND,55,SL008,1257136.53675,1004669.607,7,,16,No,,Green,,QL,Yes,,AERIAL,,,{4F94CB51-0814-4731-891F-FF5B318BC2B1}
-9825312.07887728,4881284.72593621,8,Cast Aluminum,Other,Globe,HPS,100,SL084,1252345.1626,1004126.934,1,,19,No,,Green,,GE,Yes,,AERIAL,,,{E4D5E0FA-2245-4CF5-A347-79DB08D9DBD3}
-9821604.51527864,4883161.25642594,9,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.7511,1013437.815,4,,22,No,,Natural,,GE,No,,AERIAL,,,{D4CAD77B-552D-427C-8360-8802F0C473EC}
-9821664.72458152,4883161.35694605,10,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.82545,1013286.548,4,,23,No,,Natural,,GE,No,,AERIAL,,,{A1E3619F-435B-431D-A4BC-78E0F9F7E725}
-9821750.36343675,4883161.74355057,11,Aluminum,Davit,Cobra,HPS,100,SL046,1257051.54265,1013071.394,4,,24,No,,Natural,,GE,No,,AERIAL,,,{023011F1-4F87-427E-B143-7DB80AEB3683}
-9821760.51056008,4883170.04688374,12,Aluminum,Davit,Cobra,HPS,100,SL046,1257072.29194999,1013045.877,4,,25,No,,Natural,,GE,No,,AERIAL,,,{34AB0C9C-8D22-4E6B-A41C-F31BE9541E44}
-9821762.01508485,4883100.17180255,13,Aluminum,Davit,Cobra,HPS,100,SL046,1256897.426925,1013042.299,4,,26,No,,Natural,,GE,No,,AERIAL,,,{7C701F35-2123-4245-BF02-87B4C5BF862C}
-9821761.51792276,4883030.76855399,14,Aluminum,Davit,Cobra,HPS,100,SL046,1256723.746925,1013043.75,4,,27,No,,Natural,,GE,No,,AERIAL,,,{C37089F6-6B0A-4864-B091-7A1A08589AEC}
-9821785.66505475,4883161.19223338,15,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.06039999,1012982.706,4,,28,No,,Natural,,GE,No,,AERIAL,,,{C77EDC99-EEAB-460C-A1D2-A8B65A53B7FE}
-9823259.52535655,4883274.03277577,16,Cast Aluminum,Other,Globe,HPS,100,SL025,1257328.4366,1009279.594475,1,,30,Yes,,Black,,GE,Yes,,AERIAL,,,{0918E784-9A66-4370-86C9-1B496301EFF5}
-9823545.8313595,4883151.92649944,17,Aluminum,Pipe Arm,Cobra,HPS,250,SL025,1257022.921,1008565.101825,4,,31,No,,Natural,,GE,No,,AERIAL,,,{90E5D56A-8560-4232-B38B-750EC0F3E680}
