OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID,Latitude,Longitude
1,Steel,Traffic Signal,Cobra,HPS,250,SL006,1267212.311475,1005283.201,6.0,2005-01-01 06:00:00,1,No,Not Specified,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3D9252A0-98F3-41A1-9CE0-8D9AB468C8F5},40.14630655021276,-88.25810949778356
2,Aluminum,Truss Arm,Cobra,LED,Not Specified,SL060,1255992.918275,1010449.98265,4.0,2017-01-01 06:00:00,4,No,Not Specified,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{3F9D8B79-1F27-427D-86F4-CC5D4472F47D},40.115463369679254,-88.2396714800873
3,Cast Aluminum,Other,Globe,IND,85,SL048,1256265.682725,1010762.002675,1.0,,7,Yes,Not Specified,Black,Sternberg,QL,Yes,Not Specified,AERIAL,Not Specified,10/12/18,{A210936D-18C6-43A0-8A43-111608E5E6E9},40.11624258677347,-88.23854517994724
4,Aluminum,Combo,Cobra,Other,250/85,SL048,1256269.251825,1011333.168,6.0,,11,No,Not Specified,Black,Not Specified,GE-HPS/QL-IND,Yes,Not Specified,AERIAL,Not Specified,10/12/18,{123E4305-5BB1-4A96-99CD-8A7F7C084441},40.11625222384569,-88.236535503852
5,Cast Iron,Other,Globe,IND,55,SL008,1257328.53399999,1004593.931,7.0,,14,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{38DA6762-EFE8-45AA-A24E-3753FB014509},40.119176175266176,-88.2605960564145
6,Cast Iron,Other,Globe,IND,55,SL008,1257237.4956,1004666.847,7.0,,15,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{4922142E-49E3-4326-ACD0-D49296572309},40.11891866149941,-88.2603266677127
7,Cast Iron,Other,Globe,IND,55,SL008,1257136.53675,1004669.607,7.0,,16,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{4F94CB51-0814-4731-891F-FF5B318BC2B1},40.11864551920817,-88.26032354961028
8,Cast Aluminum,Other,Globe,HPS,100,SL084,1252345.1626,1004126.934,1.0,,19,No,Not Specified,Green,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{E4D5E0FA-2245-4CF5-A347-79DB08D9DBD3},40.105497316755105,-88.26228011699612
9,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.7511,1013437.815,4.0,,22,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{D4CAD77B-552D-427C-8360-8802F0C473EC},40.118389455619905,-88.22897450652107
10,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.82545,1013286.548,4.0,,23,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A1E3619F-435B-431D-A4BC-78E0F9F7E725},40.118390146147675,-88.22951537589127
11,Aluminum,Davit,Cobra,HPS,100,SL046,1257051.54265,1013071.394,4.0,,24,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{023011F1-4F87-427E-B143-7DB80AEB3683},40.11839280194605,-88.23028468281696
12,Aluminum,Davit,Cobra,HPS,100,SL046,1257072.29194999,1013045.877,4.0,,25,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{34AB0C9C-8D22-4E6B-A41C-F31BE9541E44},40.11844984206808,-88.23037583597674
13,Aluminum,Davit,Cobra,HPS,100,SL046,1256897.426925,1013042.299,4.0,,26,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{7C701F35-2123-4245-BF02-87B4C5BF862C},40.117969830550464,-88.23038935135266
14,Aluminum,Davit,Cobra,HPS,100,SL046,1256723.746925,1013043.75,4.0,,27,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{C37089F6-6B0A-4864-B091-7A1A08589AEC},40.11749305696414,-88.23038488526971
15,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.06039999,1012982.706,4.0,,28,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{C77EDC99-EEAB-460C-A1D2-A8B65A53B7FE},40.11838901464599,-88.23060180264697
16,Cast Aluminum,Other,Globe,HPS,100,SL025,1257328.4366,1009279.594475,1.0,,30,Yes,Not Specified,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{0918E784-9A66-4370-86C9-1B496301EFF5},40.11916417379598,-88.24384171500465
17,Aluminum,Pipe Arm,Cobra,HPS,250,SL025,1257022.921,1008565.101825,4.0,,31,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{90E5D56A-8560-4232-B38B-750EC0F3E680},40.1183253632084,-88.24641364558848
18,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257731.43545,1009254.237,4.0,,32,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{D318CE06-EE61-4815-814F-57FF24FF0DA3},40.12027051754862,-88.24393093612704
19,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257676.18584999,1009166.886,4.0,,33,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A7FEA43A-47E4-455C-9FCD-1835DDA7B206},40.120119092458374,-88.24424347493847
20,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257734.64805,1008935.67,4.0,,34,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{74A7836C-6619-43D4-BBA1-FD8AAE7FDB1E},40.12028151660022,-88.24506366532879
21,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257729.204475,1009077.443,4.0,,35,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{8D22542E-01BE-4585-9B0D-81E4FD843461},40.12026487956859,-88.24456310806981
22,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257745.90967499,1008876.867,4.0,,36,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{598534ED-7A5F-4BD7-AC02-B870C8770748},40.12031128203255,-88.24527639366733
23,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257682.5733,1008864.419,4.0,,37,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{834A2ECD-B671-4AAA-B575-29B579B9C149},40.12013745357245,-88.24532498732049
24,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257506.326325,1008927.411,4.0,,38,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{79361117-2AB4-4393-9059-D08A0081D7DA},40.11965346582035,-88.2451003727131
25,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257385.210175,1008927.215,4.0,,39,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A2D37C25-752E-4FBC-A1B7-0A51B43B5691},40.11932099061095,-88.24510150280766
