OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID,Latitude,Longitude
1,Streetname - Mast Arm,"16"" X 42""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,1,Not Specified,AERIAL,L,Mercury Dr,1,Not Specified,{14F48419-04A7-4932-A850-884CA5DC67FA},40.14924512182376,-88.23928264736504
2,Streetname - Mast Arm,"16"" X 42""",Not Specified,Traffic Signal Mast Arm,,Streetname,Not Specified,D3-1,Champaign,2,Not Specified,AERIAL,L,N Market St,2,Not Specified,{1B72759F-4509-4810-9774-9274A034E1AA},40.14944675752241,-88.23928005367458
3,No Outlet,"30"" X 30""",Not Specified,Punched Telespar,2010-01-01,Warning,Not Specified,W14-2,Champaign,3,Not Specified,AERIAL,E,Not Specified,3,Not Specified,{4AEAB974-641C-4DF8-BE0B-AE40A0221559},40.09312303461725,-88.29237313291905
4,No Outlet,"30"" X 30""",Not Specified,Punched Telespar,2010-01-01,Warning,Not Specified,W14-2,Champaign,4,Not Specified,AERIAL,E,Not Specified,4,Not Specified,{37ACD662-5FC1-493C-B247-A148B99DD781},40.095087991656165,-88.29505240835367
5,No Outlet,"30"" X 30""",Not Specified,Punched Telespar,2010-01-01,Warning,Not Specified,W14-2,Champaign,5,Not Specified,AERIAL,E,Not Specified,5,Not Specified,{50CC3089-DB53-48A1-828D-838C3B31DDB2},40.09760058059802,-88.28499197402051
6,No Outlet,"30"" X 30""",Not Specified,Punched Telespar,2010-01-01,Warning,Not Specified,W14-2,Champaign,6,Not Specified,AERIAL,E,Not Specified,6,Not Specified,{4F33D5FF-11DC-42F7-9DA2-3CE2EEA56697},40.094356134664025,-88.27996005894774
7,No Outlet,"30"" X 30""",Not Specified,Punched Telespar,2016-01-01,Warning,Not Specified,W14-2,Champaign,7,Not Specified,AERIAL,E,Not Specified,7,Not Specified,{39BC922B-CA43-46CD-8894-88D910C0BD22},40.09361522782205,-88.27995630116413
8,Streetname - Sesquicentennial,"6"" X 30""",Not Specified,Unpunched Telespar,,Streetname,Not Specified,N/A,Champaign,8,Not Specified,AERIAL,A,W 600 Vine  St,8,Not Specified,{1A3AB015-4D15-48C1-8D10-B66AB68FC7A5},40.12204362941018,-88.25174321670787
9,Streetname - Sesquicentennial,"6"" X 30""",Not Specified,Punched Telespar,,Streetname,Not Specified,N/A,Champaign,9,Not Specified,AERIAL,A,N600 Elm St,9,Not Specified,{C2139729-5DE6-41DB-BF48-968844846A86},40.12113019600902,-88.25010233249756
10,No Outlet,"30"" X 30""",Not Specified,Punched Telespar,2010-01-01,Warning,Not Specified,W14-2,Champaign,10,Not Specified,AERIAL,E,Not Specified,10,Not Specified,{4A856BB9-7A38-4430-B5D4-06BF106A4F52},40.09198989886159,-88.27871833659931
